Category,Name,County,Town,Address,Phone,Hours Of Operation,Operational Notes:,Web Link,Additional Web Link,OpenMaine Changes,Latitude,Longitude,latitude,longitude
Meal Sites,AAAA - Meals on Wheels,Aroostook,Presque Isle,"33 Davis Street
 Presque Isle ME 04769",(207)764-6185,N/A,"Congregate dining sites are closed. Consumers will be offered frozen home delivered meals or “storm packs” consisting of canned and non-perishable food. Consumers currently receiving frozen home-delivered meals will continue to do so on a two-week rather than weekly schedule. Those now receiving hot home delivered meals will receive frozen meals or “storm packs”.
 
 Commodity boxes are still available for pick-up at regularly scheduled distribution sites via drive-thru method.",https://www.facebook.com/AroostookAreaAgencyOnAging/,,,,,46.69081047879262,-68.00813952844942
Food Pantry,Acton Ecumenical Food Pantry,York,Acton,"59 H Rd
 Acton, ME 04001",(207)636-3430,Open 3rd Wednesday of every month.,,https://www.facebook.com/ActonFoodPantry/?__xts__%5B0%5D=68.ARCHo1s_FkH5pIzTItDY9jexehT8sD6ug8bG6CEoknMawnrA81YGrIni-wy5OnQ53srKJAiqBhPzqXYcTEk7meAc7EdB- 81JXD82nKsGqEfA9VRuP2MSTtySYS_pxUXuQPgG8jeYCgvS4zfKbfd-xzEmXncz_Xf3E0tgv36cvsZoXoBfZSy4bV8ZNzYtIPj6duz4gRxf6lei6fCjwEcpmr3N5FmU9rnqcPPsQt8WD4lrQfHYtpLRWVj5KSv7IgkMYyniQKTO96ccer7s5DeW6Xmdn_xHoIsS6nFDmLspVRmRGxw8-NTSDVm5ZusRKpZZ__U_jCmxr-D4uifoHcq7S2GdIBjd&__tn__=k%2AF&tn-str=k%2AF,,,,,43.533148296410694,-70.90923247007869
Food Pantry,Adopt-A-Block of Aroostook,Aroostook,Houlton,"307 Military Street
 Houlton ME 04730",(207)532-2783 x102,People can get food once a month on the 3rd Saturday of the month. Also available for emergencies.,"For appointments, call (207)532-2783 ext. 102.",https://www.facebook.com/Adopt-a-Block-of-Aroostook-151212988235780/,,,,,46.125408510675804,-67.81415766180967
Meal Sites,Adventist Community Services Soup Kitchen,Oxford,Dixfield,"58 Pine St
 Dixfield ME 04224",(207)357-2855,"Last Monday of the month, 4:00 PM - 5:30 PM. (Excepting holidays, in which distribution is one week sooner.)",To Go meal service .,https://dixfieldme.adventistchurch.org/ministries/soup-kitchen,,,,,44.53673866195392,-70.4576629353682
Meal Sites,Amistad Inc.,Cumberland,Portland,"66 State St.
 Portland ME 04101",(207)773-1956,Meals temporarily suspended. Emergency pre-packed boxes available.,Meals temporarily suspended. Emergency pre-packed boxes available.,https://www.facebook.com/AmistadMaine/,https://amistadmaine.org/,,,,43.65010800000002,-70.2621855
Food Pantry,Andover Food Pantry,Oxford,Andover,"32 Elm St
 Andover ME 04216",(207)392-1057,Tuesday 9:00 AM - 10:00 AM,"Drive thru Model, volunteers are taking extra precautions needed to keep everyone safe",https://www.maine.gov/dacf/ard/tefap/bytown.shtml,,,,,44.63580422399072,-70.74955530342775
Food Pantry,Area Interfaith Outreach,Knox,Rockland,"70 Thomaston St
 Rockland ME 04841",(207)596-1043,"Monday, Wednesday, and Friday 9:30 AM - 12:00 PM. Additional hours on Wednesday from 5:30 PM - 6:30 PM.","Pre-packed boxes, pre-bagged produce curbside delivery. Only volunteers allowed in building.",https://www.facebook.com/AIOFoodpantry70/,,,,,44.093762999999996,-69.1153425
Food Pantry,Arundel Food Pantry,York,Arundel,"46 Arundel Food Pantry
 1237 Alfred Rd.
 Arundel ME 04046",(207)229-0167,Sunday from 5:00 PM - 6:00 PM.,Drive-thru model with pre-packed boxes,https://www.maine.gov/dacf/ard/tefap/York.shtml,,,,,43.4782841093256,-70.58006849125742
Food Pantry,Ashland Food Pantry (CCM),Aroostook,Ashland,"31-A Station Street
 Ashland ME 04732",(207)551-8108,2nd Tuesdays 5:00 PM - 7:00 PM and 3rd Thursdays 2:00 PM - 4:00 PM.,Drive thru-model with pre-packed boxes.,http://townofashland.org/ashland-area-food-pantry/,,,,,46.63094643676935,-68.4069478119781
Meal Sites,Augusta Angel Food Network - South Parish,Kennebec,Augusta,"9 Church St
 Augusta ME 04330",(207)622-0552,"2nd Saturday of the Month between and including September through June, 4:30 PM - 6:00 PM.",,https://www.facebook.com/pg/South-Parish-Congregational-Church-UCC-Augusta-ME-144039189020841/about/,,,,,44.317071,-69.776235
Food Pantry,Augusta Food Bank,Kennebec,Augusta,"161 Mt Vernon Ave
 Augusta ME 04330",(207)622-5225,"Monday - Thursday 12:30 PM - 2:00 PM, 2nd Wednesday 5:00 PM -7:00 PM; appointment only. Call (207)213-2233 for appointment.",Removed barriers for any Augusta or Manchester residents. Hours expanded to reduce the number of people on site. Creating appointments to minimize contact. Drive-thru model with pre-packed boxes. Providing weekend BackPack meals on Thursdays for children 18 and under.,https://www.facebook.com/AugustaFoodBank/,,,,,44.32943700000001,-69.78339
Food Pantry,Bangor Area Homeless Shelter FP/SK,Penobscot,Bangor,"263 Main Street
 Bangor ME 04401",(207)947-0092,Tuesday and Thursday 1:00 PM - 4:00 PM. Soup kitchen open daily 11:00 AM - 12:00 PM. Available for emergencies.,"Pantry product and to-go meals, (pickup at side door).",https://www.facebook.com/bangorareashelter/,,,,,44.796887999999996,-68.77380149999999
Food Pantry,Bar Harbor Food Pantry,Hancock,Bar Harbor,"36 Mt Desert St
 Bar Harbor ME 04609",(207)288-3375,Tuesdays from 9:00AM - 12:00 PM and Thursdays from 4:00 PM - 6:00 PM.,"Created appointments to minimize community members’ contact with one another. Drive thru-model with pre-packed boxes.
 Established a “proxy” pick-up where neighbors/family members can pick up for others. Expanded our hours to spread out the number of people at our site at once",https://www.facebook.com/barharborfoodpantry/,,,,,44.38693390423575,-68.20688197654225
Food Pantry,Baskets of Blessings,Aroostook,Fort Fairfield,"4 Church St.
 Fort Fairfield ME 04742",(207)325-1635,"Open first Tuesdays of the month, and the first Saturday after the first Tuesday of the month.","Pre-packed boxes available via drive-thru distribution. 
 Established a “proxy” pick-up where neighbors/family members can pick up for others.",https://www.facebook.com/groups/1181676755361505/about/,,,,,46.770128360811356,-67.82900502637195
Food Pantry,Bath Area Food Bank - Food Pantry,Sagadahoc,Bath,"807 Middle Street
 Bath ME 04530",(207)737-9289,Open Tuesday and Thursday 5:00 PM - 7:00 PM,"Pre-packed boxes, pre-bagged produce curbside delivery. Only volunteers allowed in building.",https://www.facebook.com/bathfoodbank.org/,,,,,43.91316799417163,-69.81788183622841
Meal Sites,Bath Area Food Bank - Soup Kitchen,Sagadahoc,Bath,"807 Middle Street
 Bath ME 04530",(207)737-9289,Open Tuesday 12:00 PM - 2:00 PM. Open to anyone.,Meals to-go Curb side.,https://www.facebook.com/bathfoodbank.org/,,,,,43.91316799417163,-69.81788183622841
Meal Sites,Belfast Soup Kitchen,Waldo,Belfast,"31 Belmont Ave, Belfast , Suite 1
 Belfast ME 04915",(207)338-4845,Monday through Friday 10:30 AM - 12:30 PM.,Take-out only.,https://www.facebook.com/BelfastAreaSoupKitchen/,,,,,44.42290470288024,-69.02817869807983
Food Pantry,Belgrade - Rome Special Needs,Kennebec,North Belgrade,"508 Smithfield Road
 North Belgrade ME 04917",(207)495-2022,Tuesdays 9:00 AM - 11:00 AM.,"Pre- packed boxes, limiting contact between volunteers and clients.",https://www.facebook.com/BRSNFP/,,,,,44.53496544549519,-69.79149320925988
Food Pantry,Biddeford Food Pantry,York,Biddeford,"162 Elm Street
 Biddeford ME 04005",(207)282-4771,"Tuesday, Wednesday, Thursday from 9:00 AM - 11:00 
 AM.","Open, preparing bags for clients to go. Will bring bags to cars and keep social distancing.",https://www.facebook.com/BiddefordFoodPantry/,,,,,43.494179509867756,-70.45990402651617
Food Pantry,Blue Cross Food Cupboard,Penobscot,Lagrange,"4895 Bennoch Road
 Lagrange ME 04453",(207)479-4010,Saturdays 9:00 AM - 11:00 AM.,Drive-thru model,https://www.facebook.com/Lagrange-Full-Gospel-111300280405774/,,,,,45.11145501471519,-68.81040026227714
Meal Sites,Bon Appetit Meal Program,York,Biddeford,"19 Crescent St
 Biddeford ME 04005",(207)205-0995,Monday - Friday 4:30 PM - 5:30 PM.,Implemented personal space and personal hygiene must-do's.,https://www.facebook.com/Bon-Appetit-Community-Meal-Program-349795978466086/,,,,,43.49230279819972,-70.45860880875995
